iteration,a,b,c,quality
294,580555710398.0381,0.07217163989366661,-271597937404.18164,2.359451810200752e+25
295,580555710398.0381,0.07217163915730292,-271597937404.18164,2.3594518101930768e+25
296,580555710398.0381,0.07217163726456488,-271597937404.18164,2.359451810200351e+25
297,580555710398.0381,0.07217163665930328,-271597937404.18164,2.3594518101954296e+25
298,580555710398.0381,0.07217163796456001,-271597937404.18164,2.359451810194945e+25
299,580555710398.0381,0.07217163938134011,-271597937404.18164,2.3594518101984867e+25
300,580555710398.0381,0.07217163914290378,-271597937404.18164,2.3594518101930845e+25
301,580555710398.0381,0.07217163770510482,-271597937404.18164,2.359451810196647e+25
302,580555710398.0381,0.07217163697261805,-271597937404.18164,2.3594518101953604e+25
303,580555710398.0381,0.07217163779045543,-271597937404.18164,2.3594518101934925e+25
304,580555710398.0381,0.07217163898748354,-271597937404.18164,2.359451810196428e+25
305,580555710398.0381,0.07217163902919105,-271597937404.18164,2.3594518101933246e+25
306,580555710398.0381,0.07217163797485696,-271597937404.18164,2.3594518101946732e+25
307,580555710398.0381,0.07217163725468959,-271597937404.18164,2.3594518101948467e+25
308,580555710398.0381,0.07217163774272836,-271597937404.18164,2.359451810193069e+25
309,580555710398.0381,0.07217163870691734,-271597937404.18164,2.359451810194984e+25
310,580555710398.0381,0.07217163888326893,-271597937404.18164,2.3594518101934217e+25
311,580555710398.0381,0.07217163812471193,-271597937404.18164,2.3594518101937245e+25
312,580555710398.0381,0.07217163748340469,-271597937404.18164,2.359451810194273e+25
313,580555710398.0381,0.07217163776268694,-271597937404.18164,2.3594518101929913e+25
314,580555710398.0381,0.07217163851814866,-271597937404.18164,2.3594518101941084e+25
315,580555710398.0381,0.07217163874051213,-271597937404.18164,2.3594518101933753e+25
316,580555710398.0381,0.07217163819725847,-271597937404.18164,2.359451810193306e+25
317,580555710398.0381,0.07217163765764045,-271597937404.18164,2.359451810193817e+25
318,580555710398.0381,0.07217163781316391,-271597937404.18164,2.359451810192995e+25
319,580555710398.0381,0.07217163839684945,-271597937404.18164,2.359451810193605e+25
320,580555710398.0381,0.07217163861619094,-271597937404.18164,2.3594518101932834e+25
321,580555710398.0381,0.07217163822365276,-271597937404.18164,2.359451810193131e+25
322,580555710398.0381,0.07217163778538675,-271597937404.18164,2.3594518101934994e+25
323,580555710398.0381,0.07217163787287591,-271597937404.18164,2.3594518101930016e+25
324,580555710398.0381,0.07217163832185743,-271597937404.18164,2.3594518101933328e+25
325,580555710398.0381,0.07217163851433167,-271597937404.18164,2.359451810193191e+25
326,580555710398.0381,0.07217163822472658,-271597937404.18164,2.3594518101930544e+25
327,580555710398.0381,0.07217163787711116,-271597937404.18164,2.3594518101932967e+25
328,580555710398.0381,0.0721716379309357,-271597937404.18164,2.359451810193005e+25
329,580555710398.0381,0.0721716382769532,-271597937404.18164,2.3594518101931884e+25
330,580555710398.0381,0.07217163843351866,-271597937404.18164,2.359451810193123e+25
331,580555710398.0381,0.07217163821346652,-271597937404.18164,2.359451810193024e+25
332,580555710398.0381,0.07217163794259963,-271597937404.18164,2.3594518101931777e+25
333,580555710398.0381,0.07217163798263002,-271597937404.18164,2.359451810193004e+25
